Key	Predicted Flatness Score	if_kag
1AgGaP2Se6-1	0.960048	0
2PbBr2-2	0.959814	0
1MnNa2P2F3O7-1	0.959804	0
1NiF2-2	0.959536	0
2SCu2-1	0.958602	0
4SbO2-2	0.958495	0
1ClCu-1	0.958474	0
2CoI2Sb2O3-1	0.958328	0
2NNaF2-1	0.958165	0
2ClKF4-1	0.958144	0
2BrKF4-1	0.957921	0
1NiZn2C6N6-1	0.957829	0
1GeCl2-3	0.957368	0
1MgF2-2	0.95715	0
2BrRbF4-1	0.956653	0
1AgTlP2O6-1	0.956537	0
2ZnBr2Sb2O3-1	0.956018	0
2NbPS3-2	0.955971	0
1AlCuP2Se6-1	0.955831	0
2CNaF2-1	0.955825	0
1BaAs2F12-1	0.955205	1
1InKCl4O12-1	0.954844	0
1ZnRe2O8-1	0.954653	0
1InLiCl4O12-1	0.954648	0
4BeF2-1	0.95457	0
2PdCl3-1	0.954443	0
2AgF3-3	0.954368	0
4CuFHO-1	0.954326	0
1NiPb2C12-1	0.953904	0
2NaTaCl6-1	0.953855	0
2CFNaO3-1	0.953702	0
1AlCuP2S6-1	0.953679	0
1Fe2Sb2O7-1	0.953433	0
2FNaS-2	0.953267	0
1Cu3I5-1	0.953153	0
1SrBi2F12-1	0.953139	1
1NaTlBr4O12-1	0.952667	0
2CKNS-1	0.952307	0
1As2Co2O7-1	0.952263	0
1SnK2F6O6-1	0.952154	1
2NNaRuSCl5-1	0.952048	0
1AlNaSb2O6-1	0.951494	1
2CCsHO3-1	0.951345	0
1PbCl2-3	0.951327	0
1PdZrF6-2	0.950946	0
2F2Si2O5-1	0.95093	0
2ClMoNiO4-1	0.950872	0
1AgAlAs2O6-1	0.950497	0
1AgInP2O6-1	0.950322	0
1Bi2Si3O9-1	0.950271	1
1InNaAs2O6-1	0.950142	1
2HPSb2O6-1	0.950014	0
2CaBr2S2F4-1	0.949775	1
1AgGaP2O6-1	0.949765	0
3AgBr-2	0.949714	0
1PdRe2O8-1	0.949574	0
2ClGePO3-1	0.949553	0
2RhCl3-1	0.949	0
1NiCl2N2C4-1	0.948991	0
2KTaCl6-1	0.948761	0
2FNaO2-1	0.948758	0
2KNOOsCl5-1	0.948619	0
2KNOsSCl5-1	0.948542	0
1AgVP2Se6-1	0.948438	0
4CuF2-1	0.948172	0
1CuI-1	0.948079	0
1AlAuAs2O6-1	0.947938	0
1GaNaP2O6-1	0.947924	0
1Be2Cl5-1	0.947774	0
1SnO2-2	0.947675	0
1As2Si3O9-1	0.947634	1
1GeCd2O4-1	0.947619	0
2AgBr3-5	0.947224	0
1NiMn2C12-1	0.947209	0
2AsAuO3-1	0.94718	0
2KNORuCl5-1	0.946821	0
2CuF-1	0.946819	0
1AgAlP2Se6-1	0.946708	0
1FeSbO3-1	0.946594	0
1BGeLiO4-1	0.94641	0
2IrCl3-1	0.946313	0
1GeNa2F6O6-1	0.94618	1
2CaPb2Cl6-1	0.946106	0
2FeI3-1	0.94603	0
2NNaO3-2	0.945991	0
2BrCoI-1	0.945136	0
2YCl3-1	0.945058	0
2ZnBr2-1	0.945029	0
2PTlO3-2	0.944818	0
1LiNiP2Se6-1	0.944613	0
1PdZrF6-1	0.944509	0
2ClNiWO4-1	0.944445	0
2ZnCl2Sb2O3-1	0.944027	0
1CuSnF6-1	0.943939	0
2Sb2O3-5	0.943784	0
1LiNiP2S6-1	0.94376	0
1As2Sn3O9-1	0.94375	1
1SrAg2F12-1	0.943625	0
2BiI3-1	0.943611	0
2RuI3-1	0.943369	0
2InF3-2	0.943311	0
2CHNaO3-1	0.943015	0
2CoCl3-1	0.942839	0
2ClCoWO4-1	0.942375	0
1GaLiCl4O12-1	0.942271	0
2ClCu-1	0.942261	0
2NaNbF6-1	0.942241	0
1MnGe2C6N6-1	0.942096	1
1CdO-1	0.94185	0
2AgCIO-1	0.941438	0
2WCl2O2-1	0.941325	0
4VI3-1	0.941197	0
4MnCl2-1	0.940947	0
2CFKO3-1	0.940733	0
2ClRbF4-1	0.940573	0
1CuTlP2S6-1	0.940229	0
2ClNaS2F4-1	0.940127	0
4NaOS2-1	0.939903	0
1PbCl2-1	0.939858	0
2IRbF4-1	0.939812	0
1Co2P2S5-1	0.939441	0
1LiTlBr4O12-1	0.939348	0
2CKNSe-1	0.939335	0
1Sb2Si3O9-1	0.93933	1
4NaSO2-1	0.939105	0
2CrPS3-2	0.938991	0
2HRbSeO3-1	0.938961	0
1NiZrF6-2	0.938774	0
1AsFeO3-1	0.938698	0
2PdCl3-2	0.938643	0
2IKF4-1	0.938565	0
2FTeNa3O4-1	0.938521	0
2ClPbSbO3-1	0.938401	0
2MoI3-2	0.938097	0
1PTeNa2O11-1	0.937924	0
2BrCoMoO4-1	0.937639	0
2AgClBr2-1	0.937376	0
2PbTeO4-1	0.937049	0
2CoBr3-1	0.937028	0
2CrF4-1	0.936664	0
